species_a,scientific_name_a,species_b,scientific_name_b,shared_known_traits,matches,conflicts,similarity,matching_traits,conflicting_traits
petaurista_elegans,Petaurista elegans,petaurista_philippensis,Petaurista philippensis,9,9,0,1,body_size_impression|body_form|body_covering|movement_seen|observation_place|primary_color|tail_impression|tail_shape|gliding_membrane_visible,
cannomys_badius,Cannomys badius,rhizomys_pruinosus,Rhizomys pruinosus,8,8,0,1,body_size_impression|body_form|body_covering|primary_color|tail_impression|ear_size_impression|leg_foot_appearance|rodent_tail_type,
megaderma_spasma,Megaderma spasma,lyroderma_lyra,Lyroderma lyra,8,8,0,1,body_size_impression|body_form|body_covering|movement_seen|primary_color|ear_size_impression|bat_nose_shape|bat_tail_visibility,
cynopterus_sphinx,Cynopterus sphinx,macroglossus_sobrinus,Macroglossus sobrinus,7,7,0,1,body_size_impression|body_form|body_covering|movement_seen|primary_color|body_pattern|snout_shape_simple,
aonyx_cinereus,Aonyx cinereus,lutra_sumatrana,Lutra sumatrana,6,6,0,1,body_form|body_covering|movement_seen|observation_place|primary_color|leg_foot_appearance,
callosciurus_erythraeus,Callosciurus erythraeus,callosciurus_finlaysonii,Callosciurus finlaysonii,5,5,0,1,body_form|body_covering|primary_color|tail_impression|tail_shape,
tamiops_swinhoei,Tamiops swinhoei,tamiops_mcclellandii,Tamiops mcclellandii,5,5,0,1,body_size_impression|body_form|body_covering|primary_color|body_pattern,
dremomys_pernyi,Dremomys pernyi,menetes_berdmorei,Menetes berdmorei,5,5,0,1,body_form|body_covering|movement_seen|observation_place|primary_color,
anourosorex_squamipes,Anourosorex squamipes,suncus_etruscus,Suncus etruscus,5,5,0,1,body_size_impression|body_form|body_covering|observation_place|primary_color,
bos_gaurus,Bos gaurus,bubalus_arnee,Bubalus arnee,5,5,0,1,body_size_impression|body_form|body_covering|primary_color|horns_or_antlers,
tamiops_mcclellandii,Tamiops mcclellandii,callosciurus_pygerythrus,Callosciurus pygerythrus,4,4,0,1,body_form|body_covering|primary_color|tail_impression,
lutra_lutra,Lutra lutra,mustela_strigidorsa,Mustela strigidorsa,4,4,0,1,body_form|body_covering|primary_color|tail_impression,
dremomys_rufigenis,Dremomys rufigenis,menetes_berdmorei,Menetes berdmorei,3,3,0,1,body_form|body_covering|primary_color,
tamiops_swinhoei,Tamiops swinhoei,callosciurus_pygerythrus,Callosciurus pygerythrus,3,3,0,1,body_form|body_covering|primary_color,
aonyx_cinereus,Aonyx cinereus,mustela_strigidorsa,Mustela strigidorsa,3,3,0,1,body_form|body_covering|primary_color,
balaenoptera_musculus,Balaenoptera musculus,physeter_macrocephalus,Physeter macrocephalus,10,9,1,0.9,body_size_impression|body_form|body_covering|movement_seen|observation_place|primary_color|tail_shape|cetacean_dorsal_fin|cetacean_beak,cetacean_color_pattern
hoolock_leuconedys,Hoolock leuconedys,hoolock_hoolock,Hoolock hoolock,9,8,1,0.889,body_form|body_covering|movement_seen|observation_place|primary_color|tail_impression|leg_foot_appearance|primate_face_marking,primate_brow_pattern
hoolock_leuconedys,Hoolock leuconedys,hoolock_tianxing,Hoolock tianxing,9,8,1,0.889,body_form|body_covering|movement_seen|observation_place|primary_color|tail_impression|leg_foot_appearance|primate_face_marking,primate_brow_pattern
hoolock_hoolock,Hoolock hoolock,hoolock_tianxing,Hoolock tianxing,9,8,1,0.889,body_form|body_covering|movement_seen|observation_place|primary_color|tail_impression|leg_foot_appearance|primate_face_marking,primate_brow_pattern
budorcas_taxicolor,Budorcas taxicolor,bubalus_arnee,Bubalus arnee,9,8,1,0.889,body_size_impression|body_form|body_covering|movement_seen|observation_place|leg_foot_appearance|horns_or_antlers|horn_shape_simple,primary_color
hoolock_leuconedys,Hoolock leuconedys,hylobates_lar,Hylobates lar,8,7,1,0.875,body_form|body_covering|movement_seen|observation_place|primary_color|tail_impression|leg_foot_appearance,primate_face_marking
hoolock_hoolock,Hoolock hoolock,hylobates_lar,Hylobates lar,8,7,1,0.875,body_form|body_covering|movement_seen|observation_place|primary_color|tail_impression|leg_foot_appearance,primate_face_marking
hoolock_tianxing,Hoolock tianxing,hylobates_lar,Hylobates lar,8,7,1,0.875,body_form|body_covering|movement_seen|observation_place|primary_color|tail_impression|leg_foot_appearance,primate_face_marking
petaurista_petaurista,Petaurista petaurista,petaurista_elegans,Petaurista elegans,8,7,1,0.875,body_form|body_covering|movement_seen|observation_place|tail_impression|tail_shape|gliding_membrane_visible,primary_color
petaurista_petaurista,Petaurista petaurista,petaurista_philippensis,Petaurista philippensis,8,7,1,0.875,body_form|body_covering|movement_seen|observation_place|tail_impression|tail_shape|gliding_membrane_visible,primary_color
bubalus_arnee,Bubalus arnee,pseudois_nayaur,Pseudois nayaur,8,7,1,0.875,body_form|body_covering|movement_seen|observation_place|leg_foot_appearance|horns_or_antlers|horn_shape_simple,primary_color
stenella_longirostris,Stenella longirostris,tursiops_truncatus,Tursiops truncatus,8,7,1,0.875,body_form|body_covering|movement_seen|observation_place|primary_color|tail_shape|cetacean_color_pattern,cetacean_beak
galeopterus_variegatus,Galeopterus variegatus,hylopetes_spadiceus,Hylopetes spadiceus,7,6,1,0.857,body_form|body_covering|movement_seen|observation_place|body_pattern|gliding_membrane_visible,primary_color
galeopterus_variegatus,Galeopterus variegatus,hylopetes_phayrei,Hylopetes phayrei,7,6,1,0.857,body_form|body_covering|movement_seen|observation_place|body_pattern|gliding_membrane_visible,primary_color
galeopterus_variegatus,Galeopterus variegatus,hylopetes_alboniger,Hylopetes alboniger,7,6,1,0.857,body_form|body_covering|movement_seen|observation_place|body_pattern|gliding_membrane_visible,primary_color
tupaia_belangeri,Tupaia belangeri,callosciurus_erythraeus,Callosciurus erythraeus,7,6,1,0.857,body_form|body_covering|movement_seen|observation_place|tail_impression|tail_shape,primary_color
nycticebus_bengalensis,Nycticebus bengalensis,hoolock_leuconedys,Hoolock leuconedys,7,6,1,0.857,body_form|body_covering|movement_seen|observation_place|primary_color|tail_impression,primate_face_marking
nycticebus_bengalensis,Nycticebus bengalensis,hoolock_hoolock,Hoolock hoolock,7,6,1,0.857,body_form|body_covering|movement_seen|observation_place|primary_color|tail_impression,primate_face_marking
nycticebus_bengalensis,Nycticebus bengalensis,trachypithecus_obscurus,Trachypithecus obscurus,7,6,1,0.857,body_form|body_covering|movement_seen|observation_place|primary_color|primate_face_marking,tail_impression
nycticebus_bengalensis,Nycticebus bengalensis,hoolock_tianxing,Hoolock tianxing,7,6,1,0.857,body_form|body_covering|movement_seen|observation_place|primary_color|tail_impression,primate_face_marking
nycticebus_bengalensis,Nycticebus bengalensis,hylobates_lar,Hylobates lar,7,6,1,0.857,body_form|body_covering|movement_seen|observation_place|primary_color|tail_impression,primate_face_marking
macaca_fascicularis,Macaca fascicularis,trachypithecus_obscurus,Trachypithecus obscurus,7,6,1,0.857,body_form|body_covering|movement_seen|observation_place|primary_color|tail_impression,primate_face_marking
hylopetes_spadiceus,Hylopetes spadiceus,hylopetes_phayrei,Hylopetes phayrei,7,6,1,0.857,body_form|body_covering|movement_seen|observation_place|body_pattern|gliding_membrane_visible,primary_color
hylopetes_spadiceus,Hylopetes spadiceus,petaurista_elegans,Petaurista elegans,7,6,1,0.857,body_form|body_covering|movement_seen|observation_place|primary_color|gliding_membrane_visible,tail_shape
hylopetes_spadiceus,Hylopetes spadiceus,hylopetes_alboniger,Hylopetes alboniger,7,6,1,0.857,body_form|body_covering|movement_seen|observation_place|body_pattern|gliding_membrane_visible,primary_color
hylopetes_spadiceus,Hylopetes spadiceus,petaurista_philippensis,Petaurista philippensis,7,6,1,0.857,body_form|body_covering|movement_seen|observation_place|primary_color|gliding_membrane_visible,tail_shape
hylopetes_phayrei,Hylopetes phayrei,hylopetes_alboniger,Hylopetes alboniger,7,6,1,0.857,body_form|body_covering|movement_seen|observation_place|body_pattern|gliding_membrane_visible,primary_color
chimarrogale_himalayica,Chimarrogale himalayica,nectogale_elegans,Nectogale elegans,7,6,1,0.857,body_size_impression|body_form|body_covering|movement_seen|observation_place|primary_color,ear_size_impression
nectogale_elegans,Nectogale elegans,urva_urva,Urva urva,7,6,1,0.857,body_covering|movement_seen|observation_place|primary_color|snout_shape_simple|leg_foot_appearance,body_form
megaerops_niphanae,Megaerops niphanae,megaderma_spasma,Megaderma spasma,7,6,1,0.857,body_size_impression|body_form|body_covering|movement_seen|primary_color|body_pattern,bat_tail_visibility
cynopterus_brachyotis,Cynopterus brachyotis,cynopterus_sphinx,Cynopterus sphinx,7,6,1,0.857,body_size_impression|body_form|body_covering|movement_seen|body_pattern|snout_shape_simple,primary_color
cynopterus_sphinx,Cynopterus sphinx,eonycteris_spelaea,Eonycteris spelaea,7,6,1,0.857,body_size_impression|body_form|body_covering|movement_seen|body_pattern|snout_shape_simple,primary_color
pteropus_vampyrus,Pteropus vampyrus,pteropus_hypomelanus,Pteropus hypomelanus,7,6,1,0.857,body_size_impression|body_form|body_covering|movement_seen|observation_place|time_seen,primary_color
sphaerias_blanfordi,Sphaerias blanfordi,megaderma_spasma,Megaderma spasma,7,6,1,0.857,body_size_impression|body_form|body_covering|movement_seen|body_pattern|bat_tail_visibility,primary_color
catopuma_temminckii,Catopuma temminckii,canis_lupus,Canis lupus,7,6,1,0.857,body_covering|movement_seen|observation_place|primary_color|tail_impression|leg_foot_appearance,body_form
prionailurus_viverrinus,Prionailurus viverrinus,panthera_pardus,Panthera pardus,7,6,1,0.857,body_form|body_covering|body_pattern|ear_size_impression|ear_shape_simple|carnivore_tail_marking,primary_color
prionailurus_viverrinus,Prionailurus viverrinus,prionailurus_bengalensis,Prionailurus bengalensis,7,6,1,0.857,body_form|body_covering|body_pattern|ear_size_impression|ear_shape_simple|carnivore_tail_marking,primary_color
neofelis_nebulosa,Neofelis nebulosa,panthera_pardus,Panthera pardus,7,6,1,0.857,body_form|body_covering|primary_color|ear_size_impression|ear_shape_simple|carnivore_tail_marking,body_pattern
panthera_pardus,Panthera pardus,prionailurus_bengalensis,Prionailurus bengalensis,7,6,1,0.857,body_form|body_covering|body_pattern|ear_size_impression|ear_shape_simple|carnivore_tail_marking,primary_color
vulpes_vulpes,Vulpes vulpes,ailurus_fulgens,Ailurus fulgens,7,6,1,0.857,body_size_impression|body_covering|primary_color|tail_impression|tail_shape|ear_shape_simple,snout_shape_simple
aonyx_cinereus,Aonyx cinereus,lutra_lutra,Lutra lutra,7,6,1,0.857,body_form|body_covering|movement_seen|observation_place|primary_color|leg_foot_appearance,body_size_impression
lutra_sumatrana,Lutra sumatrana,lutra_lutra,Lutra lutra,7,6,1,0.857,body_form|body_covering|movement_seen|observation_place|primary_color|leg_foot_appearance,tail_shape
budorcas_taxicolor,Budorcas taxicolor,bos_javanicus,Bos javanicus,7,6,1,0.857,body_size_impression|body_form|body_covering|primary_color|horns_or_antlers|horn_shape_simple,body_pattern
macaca_arctoides,Macaca arctoides,elaphodus_cephalophus,Elaphodus cephalophus,6,5,1,0.833,body_covering|observation_place|primary_color|body_pattern|tail_impression,body_form
galeopterus_variegatus,Galeopterus variegatus,petaurista_petaurista,Petaurista petaurista,6,5,1,0.833,body_form|body_covering|movement_seen|observation_place|gliding_membrane_visible,primary_color
galeopterus_variegatus,Galeopterus variegatus,petaurista_elegans,Petaurista elegans,6,5,1,0.833,body_form|body_covering|movement_seen|observation_place|gliding_membrane_visible,primary_color
galeopterus_variegatus,Galeopterus variegatus,petaurista_philippensis,Petaurista philippensis,6,5,1,0.833,body_form|body_covering|movement_seen|observation_place|gliding_membrane_visible,primary_color
tupaia_belangeri,Tupaia belangeri,trachypithecus_phayrei,Trachypithecus phayrei,6,5,1,0.833,body_covering|movement_seen|observation_place|primary_color|tail_impression,body_form
tupaia_belangeri,Tupaia belangeri,paguma_larvata,Paguma larvata,6,5,1,0.833,body_covering|movement_seen|observation_place|primary_color|tail_impression,body_form
dugong_dugon,Dugong dugon,balaenoptera_musculus,Balaenoptera musculus,6,5,1,0.833,body_covering|movement_seen|observation_place|primary_color|tail_shape,body_form
dugong_dugon,Dugong dugon,stenella_longirostris,Stenella longirostris,6,5,1,0.833,body_covering|movement_seen|observation_place|primary_color|tail_shape,body_form
dugong_dugon,Dugong dugon,physeter_macrocephalus,Physeter macrocephalus,6,5,1,0.833,body_covering|movement_seen|observation_place|primary_color|tail_shape,body_form
dugong_dugon,Dugong dugon,tursiops_truncatus,Tursiops truncatus,6,5,1,0.833,body_covering|movement_seen|observation_place|primary_color|tail_shape,body_form
trachypithecus_phayrei,Trachypithecus phayrei,paguma_larvata,Paguma larvata,6,5,1,0.833,body_covering|movement_seen|observation_place|primary_color|tail_impression,body_form
hylopetes_phayrei,Hylopetes phayrei,petaurista_petaurista,Petaurista petaurista,6,5,1,0.833,body_form|body_covering|movement_seen|observation_place|gliding_membrane_visible,primary_color
hylopetes_phayrei,Hylopetes phayrei,petaurista_elegans,Petaurista elegans,6,5,1,0.833,body_form|body_covering|movement_seen|observation_place|gliding_membrane_visible,primary_color
hylopetes_phayrei,Hylopetes phayrei,petaurista_philippensis,Petaurista philippensis,6,5,1,0.833,body_form|body_covering|movement_seen|observation_place|gliding_membrane_visible,primary_color
