species_a,species_b,missing_discriminator,proposed_trait_name,observable_by_normal_user,useful_for_how_many_species,recommended,notes
callosciurus_erythraeus,callosciurus_caniceps,"coarse rodent traits do not capture belly, side, cheek, or stripe-layout field marks",squirrel_ventral_or_side_pattern,yes,8,true,Similarity 1; matching traits: body_form|body_covering|movement_seen|observation_place|primary_color|tail_impression|tail_shape|rodent_tail_type. Needs source-backed schema design before any trait values are added.
callosciurus_erythraeus,callosciurus_finlaysonii,"coarse rodent traits do not capture belly, side, cheek, or stripe-layout field marks",squirrel_ventral_or_side_pattern,yes,8,true,Similarity 1; matching traits: body_form|body_covering|movement_seen|time_seen|primary_color|tail_impression|tail_shape|rodent_tail_type. Needs source-backed schema design before any trait values are added.
callosciurus_finlaysonii,callosciurus_caniceps,"coarse rodent traits do not capture belly, side, cheek, or stripe-layout field marks",squirrel_ventral_or_side_pattern,yes,8,true,Similarity 1; matching traits: body_form|body_covering|movement_seen|primary_color|tail_impression|tail_shape|rodent_tail_type. Needs source-backed schema design before any trait values are added.
callosciurus_quinquestriatus,callosciurus_pygerythrus,"coarse rodent traits do not capture belly, side, cheek, or stripe-layout field marks",squirrel_ventral_or_side_pattern,yes,8,true,Similarity 1; matching traits: body_form|body_covering|movement_seen|primary_color|tail_impression|tail_shape|rodent_tail_type. Needs source-backed schema design before any trait values are added.
dremomys_pernyi,menetes_berdmorei,"coarse rodent traits do not capture belly, side, cheek, or stripe-layout field marks",squirrel_ventral_or_side_pattern,yes,8,true,Similarity 1; matching traits: body_form|body_covering|movement_seen|observation_place|time_seen|primary_color|rodent_tail_type. Needs source-backed schema design before any trait values are added.
tamiops_swinhoei,callosciurus_pygerythrus,"coarse rodent traits do not capture belly, side, cheek, or stripe-layout field marks",squirrel_ventral_or_side_pattern,yes,8,true,Similarity 1; matching traits: body_form|body_covering|movement_seen|time_seen|primary_color|tail_shape|rodent_tail_type. Needs source-backed schema design before any trait values are added.
tamiops_swinhoei,callosciurus_quinquestriatus,"coarse rodent traits do not capture belly, side, cheek, or stripe-layout field marks",squirrel_ventral_or_side_pattern,yes,8,true,Similarity 1; matching traits: body_form|body_covering|movement_seen|observation_place|primary_color|body_pattern|tail_shape|rodent_tail_type. Needs source-backed schema design before any trait values are added.
tupaia_belangeri,dremomys_lokriah,"coarse rodent traits do not capture belly, side, cheek, or stripe-layout field marks",squirrel_ventral_or_side_pattern,yes,8,true,Similarity 1; matching traits: body_form|body_covering|movement_seen|observation_place|primary_color|tail_impression|tail_shape. Needs source-backed schema design before any trait values are added.
axis_porcinus,capricornis_milneedwardsi,"coarse ungulate traits do not capture obvious face, throat, mane, or lower-leg marking layout",ungulate_face_or_throat_marking,yes,6,true,Similarity 1; matching traits: body_form|body_covering|primary_color|ear_size_impression. Needs source-backed schema design before any trait values are added.
axis_porcinus,muntiacus_gongshanensis,"coarse ungulate traits do not capture obvious face, throat, mane, or lower-leg marking layout",ungulate_face_or_throat_marking,yes,6,true,Similarity 1; matching traits: body_form|body_covering|primary_color. Needs source-backed schema design before any trait values are added.
bos_gaurus,bubalus_arnee,"coarse ungulate traits do not capture obvious face, throat, mane, or lower-leg marking layout",ungulate_face_or_throat_marking,yes,6,true,Similarity 1; matching traits: body_size_impression|body_form|body_covering|primary_color|horns_or_antlers. Needs source-backed schema design before any trait values are added.
bos_gaurus,capricornis_milneedwardsi,"coarse ungulate traits do not capture obvious face, throat, mane, or lower-leg marking layout",ungulate_face_or_throat_marking,yes,6,true,Similarity 1; matching traits: body_form|body_covering|primary_color|horns_or_antlers. Needs source-backed schema design before any trait values are added.
bubalus_arnee,capricornis_milneedwardsi,"coarse ungulate traits do not capture obvious face, throat, mane, or lower-leg marking layout",ungulate_face_or_throat_marking,yes,6,true,Similarity 1; matching traits: body_form|body_covering|primary_color|horns_or_antlers. Needs source-backed schema design before any trait values are added.
capricornis_rubidus,naemorhedus_cranbrooki,"coarse ungulate traits do not capture obvious face, throat, mane, or lower-leg marking layout",ungulate_face_or_throat_marking,yes,6,true,Similarity 1; matching traits: body_form|body_covering|primary_color|body_pattern|horns_or_antlers|horn_shape_simple. Needs source-backed schema design before any trait values are added.
eupetaurus_nivamons,petaurista_caniceps,"coarse gliding-mammal traits do not capture mantle, membrane, face, or tail-color layout",gliding_mammal_marking_pattern,yes,6,true,Similarity 0.9; matching traits: body_form|body_covering|movement_seen|observation_place|body_pattern|tail_impression|tail_shape|gliding_membrane_visible|rodent_tail_type. Needs source-backed schema design before any trait values are added.
galeopterus_variegatus,petaurista_caniceps,"coarse gliding-mammal traits do not capture mantle, membrane, face, or tail-color layout",gliding_mammal_marking_pattern,yes,6,true,Similarity 1; matching traits: body_form|body_covering|movement_seen|observation_place|primary_color|body_pattern|gliding_membrane_visible. Needs source-backed schema design before any trait values are added.
hylopetes_phayrei,eupetaurus_nivamons,"coarse gliding-mammal traits do not capture mantle, membrane, face, or tail-color layout",gliding_mammal_marking_pattern,yes,6,true,Similarity 1; matching traits: body_form|body_covering|movement_seen|observation_place|primary_color|body_pattern|gliding_membrane_visible. Needs source-backed schema design before any trait values are added.
muntiacus_gongshanensis,bos_gaurus,"coarse ungulate traits do not capture obvious face, throat, mane, or lower-leg marking layout",ungulate_face_or_throat_marking,yes,6,true,Similarity 1; matching traits: body_form|body_covering|primary_color|body_pattern. Needs source-backed schema design before any trait values are added.
muntiacus_gongshanensis,bubalus_arnee,"coarse ungulate traits do not capture obvious face, throat, mane, or lower-leg marking layout",ungulate_face_or_throat_marking,yes,6,true,Similarity 1; matching traits: body_form|body_covering|observation_place|primary_color|leg_foot_appearance. Needs source-backed schema design before any trait values are added.
muntiacus_gongshanensis,capricornis_milneedwardsi,"coarse ungulate traits do not capture obvious face, throat, mane, or lower-leg marking layout",ungulate_face_or_throat_marking,yes,6,true,Similarity 1; matching traits: body_form|body_covering|primary_color. Needs source-backed schema design before any trait values are added.
petaurista_elegans,petaurista_philippensis,"coarse gliding-mammal traits do not capture mantle, membrane, face, or tail-color layout",gliding_mammal_marking_pattern,yes,6,true,Exact current profile collision. Similarity 1; matching traits: body_size_impression|body_form|body_covering|movement_seen|observation_place|primary_color|tail_impression|tail_shape|gliding_membrane_visible. Needs source-backed schema design before any trait values are added.
