species_key,scientific_name,populated_traits,remaining_compatible_candidates,simulated_questions_used,readiness,questions_used,remaining_candidates
capricornis_milneedwardsi,Capricornis milneedwardsi,6,6,3,insufficient_current_traits,body_form|primary_color|ear_size_impression,axis_porcinus|rusa_unicolor|muntiacus_gongshanensis|bos_gaurus|bubalus_arnee|capricornis_milneedwardsi
balaenoptera_physalus,Balaenoptera physalus,7,6,4,insufficient_current_traits,body_form|cetacean_dorsal_fin|primary_color|cetacean_color_pattern,balaenoptera_physalus|balaenoptera_edeni|balaenoptera_borealis|balaenoptera_acutorostrata|stenella_longirostris|tursiops_truncatus
balaenoptera_edeni,Balaenoptera edeni,7,6,4,insufficient_current_traits,body_form|cetacean_dorsal_fin|primary_color|cetacean_color_pattern,balaenoptera_physalus|balaenoptera_edeni|balaenoptera_borealis|balaenoptera_acutorostrata|stenella_longirostris|tursiops_truncatus
balaenoptera_borealis,Balaenoptera borealis,7,6,4,insufficient_current_traits,body_form|cetacean_dorsal_fin|primary_color|cetacean_color_pattern,balaenoptera_physalus|balaenoptera_edeni|balaenoptera_borealis|balaenoptera_acutorostrata|stenella_longirostris|tursiops_truncatus
balaenoptera_acutorostrata,Balaenoptera acutorostrata,7,6,4,insufficient_current_traits,body_form|cetacean_dorsal_fin|primary_color|cetacean_color_pattern,balaenoptera_physalus|balaenoptera_edeni|balaenoptera_borealis|balaenoptera_acutorostrata|stenella_longirostris|tursiops_truncatus
stenella_longirostris,Stenella longirostris,8,6,4,insufficient_current_traits,body_form|cetacean_beak|primary_color|cetacean_color_pattern,balaenoptera_physalus|balaenoptera_edeni|balaenoptera_borealis|balaenoptera_acutorostrata|stenella_longirostris|steno_bredanensis
muntiacus_gongshanensis,Muntiacus gongshanensis,6,5,3,insufficient_current_traits,body_form|primary_color|body_pattern,axis_porcinus|muntiacus_gongshanensis|bos_gaurus|bubalus_arnee|capricornis_milneedwardsi
tursiops_truncatus,Tursiops truncatus,9,5,3,insufficient_current_traits,body_form|cetacean_beak|body_covering,balaenoptera_physalus|balaenoptera_edeni|balaenoptera_borealis|balaenoptera_acutorostrata|tursiops_truncatus
bos_gaurus,Bos gaurus,6,4,3,insufficient_current_traits,body_form|primary_color|body_size_impression,muntiacus_gongshanensis|bos_gaurus|bubalus_arnee|capricornis_milneedwardsi
bubalus_arnee,Bubalus arnee,9,4,3,insufficient_current_traits,body_form|primary_color|body_size_impression,muntiacus_gongshanensis|bos_gaurus|bubalus_arnee|capricornis_milneedwardsi
