trait,known_species,coverage_pct,distinct_values,entropy_bits,avg_candidates_eliminated,evidence_weight
body_form,198,99,20,3.704,180.17,4
primary_color,199,99.5,8,2.676,164.74,1
movement_seen,140,70,7,2.514,113.09,3
observation_place,145,72.5,6,1.979,101.77,2
body_pattern,126,63,8,2.468,96.92,2
tail_impression,113,56.5,5,2.051,82.02,2
body_covering,198,99,4,0.733,53.42,4
leg_foot_appearance,60,30,6,2.329,46.1,3
ear_size_impression,61,30.5,5,2.011,44.46,2
body_size_impression,54,27,5,2.108,40.33,2
snout_shape_simple,60,30,5,1.764,38.1,3
tail_shape,55,27.5,7,2.046,35.35,2
rodent_tail_type,38,19,3,1.552,24.79,3
time_seen,45,22.5,3,1.186,22.36,1
ear_shape_simple,42,21,4,1.011,16.05,2
cetacean_color_pattern,24,12,7,2.013,15.58,2
cetacean_dorsal_fin,21,10.5,5,2.035,15.24,4
primate_face_marking,15,7.5,7,2.466,11.73,2
bat_tail_visibility,15,7.5,4,1.797,10.13,2
cetacean_beak,20,10,3,1.076,8.9,3
bat_nose_shape,13,6.5,4,1.573,7.85,4
carnivore_face_marking,11,5.5,5,2.04,7.82,3
horns_or_antlers,15,7.5,3,1.103,6.4,4
carnivore_tail_marking,15,7.5,2,0.722,4.8,2
primate_brow_pattern,3,1.5,3,1.585,2,4
mole_front_feet,2,1,2,1,1,4
gliding_membrane_visible,13,6.5,1,0,0,5
horn_shape_simple,8,4,1,0,0,3
quills_or_spines_visible,2,1,1,0,0,5
tusks_visible,0,0,0,0,0,3
