species_key,scientific_name,body_size_impression,body_form,body_covering,movement_seen,observation_place,time_seen,primary_color,body_pattern,tail_impression,tail_shape,ear_size_impression,ear_shape_simple,snout_shape_simple,leg_foot_appearance,horns_or_antlers,horn_shape_simple,tusks_visible,quills_or_spines_visible,gliding_membrane_visible,bat_nose_shape,bat_tail_visibility,rodent_tail_type,primate_face_marking,carnivore_face_marking,carnivore_tail_marking,cetacean_dorsal_fin,cetacean_beak,cetacean_color_pattern,mole_front_feet,primate_brow_pattern,squirrel_ventral_or_side_pattern,gliding_mammal_marking_pattern,ungulate_marking_layout,cetacean_head_or_body_marking,ungulate_horn_or_antler_layout,bat_face_or_shoulder_layout,rodent_tail_relative_length
elephas_maximus,Elephas maximus,cow_or_larger,elephant_like,mostly_smooth_skin,,,,grey,,,,large,,trunk_like,,,,,,,,,,,,,,,,,,,,,,,,
macaca_assamensis,Macaca assamensis,,monkey_like,fur_or_hair,,,,brown,,medium,,,,,,,,,,,,,,cheek_whiskers,,,,,,,,,,,,,,
macaca_arctoides,Macaca arctoides,,monkey_like,fur_or_hair,walking_or_running,ground,,dark_brown,plain,short,,,,,,,,,,,,,,,,,,,,,,,,,,,,
galeopterus_variegatus,Galeopterus variegatus,,gliding_mammal_like,fur_or_hair,gliding,tree_or_bush,,mixed,patched,,,small,,short_blunt,,,,,,yes,,,,,,,,,,,,,spotted_or_mottled_body,,,,,
tupaia_belangeri,Tupaia belangeri,,squirrel_like,fur_or_hair,climbing,tree_or_bush,,grey,,long,bushy,,,long_pointed,,,,,,,,,,,,,,,,,,no_obvious_contrast,,,,,,
dugong_dugon,Dugong dugon,,dugong_like,mostly_smooth_skin,swimming,sea_or_coast,,grey,,,fluked,not_obvious,,,,,,,,,,,,,,,,,,,,,,,,,,
nycticebus_bengalensis,Nycticebus bengalensis,,monkey_like,fur_or_hair,climbing,tree_or_bush,,mixed,dorsal_stripe,no_obvious_tail,,small,,short_blunt,,,,,,,,,,eye_rings,,,,,,,,,,,,,,
macaca_fascicularis,Macaca fascicularis,,monkey_like,fur_or_hair,climbing,tree_or_bush,day,mixed,plain,very_long,,,,,,,,,,,,,,cheek_whiskers,,,,,,,,,,,,,,
trachypithecus_melamerus,Trachypithecus melamerus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trachypithecus_crepusculus,Trachypithecus crepusculus,,monkey_like,fur_or_hair,,,,grey,plain,very_long,,,,,,,,,,,,,,eye_rings,,,,,,,,,,,,,,
macaca_leonina,Macaca leonina,,monkey_like,fur_or_hair,,,,yellowish_or_buff,,short,,,,,,,,,,,,,,,,,,,,,,,,,,,,
macaca_mulatta,Macaca mulatta,,monkey_like,fur_or_hair,walking_or_running,ground,,brown,plain,medium,,,,,,,,,,,,,,reddish_face,,,,,,,,,,,,,,
presbytis_femoralis,Presbytis femoralis,,monkey_like,fur_or_hair,climbing,tree_or_bush,day,black,patched,,,,,,,,,,,,,,,eye_rings,,,,,,,,,,,,,,
rhinopithecus_strykeri,Rhinopithecus strykeri,,monkey_like,fur_or_hair,,,,black,,very_long,,,,,,,,,,,,,,beard_or_moustache,,,,,,,,,,,,,,
trachypithecus_barbei,Trachypithecus barbei,,monkey_like,fur_or_hair,,,,black,plain,,,,,,,,,,,,,,,eye_rings,,,,,,,,,,,,,,
hoolock_leuconedys,Hoolock leuconedys,,monkey_like,fur_or_hair,climbing,tree_or_bush,,mixed,,no_obvious_tail,,,,,grasping_hands_or_feet,,,,,,,,,mixed,,,,,,,two_separate_brows,,,,,,,
trachypithecus_phayrei,Trachypithecus phayrei,,monkey_like,fur_or_hair,climbing,tree_or_bush,,grey,,long,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trachypithecus_popa,Trachypithecus popa,,monkey_like,fur_or_hair,,,,dark_brown,,very_long,,,,,,,,,,,,,,mixed,,,,,,,,,,,,,,
trachypithecus_pileatus,Trachypithecus pileatus,,monkey_like,fur_or_hair,,,,mixed,,very_long,,,,,,,,,,,,,,crest_or_crown,,,,,,,,,,,,,,
trachypithecus_shortridgei,Trachypithecus shortridgei,,monkey_like,fur_or_hair,,,,grey,plain,very_long,,,,,,,,,,,,,,dark_face,,,,,,,,,,,,,,
hoolock_hoolock,Hoolock hoolock,,monkey_like,fur_or_hair,climbing,tree_or_bush,,mixed,,no_obvious_tail,,,,,grasping_hands_or_feet,,,,,,,,,mixed,,,,,,,connected_or_nearly_connected,,,,,,,
trachypithecus_obscurus,Trachypithecus obscurus,,monkey_like,fur_or_hair,climbing,tree_or_bush,,mixed,,very_long,,,,,grasping_hands_or_feet,,,,,,,,,eye_rings,,,,,,,,,,,,,,
hoolock_tianxing,Hoolock tianxing,,monkey_like,fur_or_hair,climbing,tree_or_bush,,mixed,,no_obvious_tail,,,,,grasping_hands_or_feet,,,,,,,,,mixed,,,,,,,thin_separate_wide_gap,,,,,,,
hylobates_lar,Hylobates lar,,monkey_like,fur_or_hair,climbing,tree_or_bush,,mixed,,no_obvious_tail,,,,,grasping_hands_or_feet,,,,,,,,,white_face_ring,,,,,,,,,,,,,,
ochotona_forresti,Ochotona forresti,rabbit_or_cat_sized,rabbit_hare_like,fur_or_hair,,ground,,dark_brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
biswamoyopterus_undetermined,Biswamoyopterus undetermined,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
