species_key,scientific_name,canonical_scientific_name,common_name,order,family,genus,species_epithet,taxonomic_rank,marine,terrestrial,myanmar_distribution,global_distribution,conservation_status,myanmar_protection_status,identification_active,identification_level,taxonomy_notes,manual_review,source_dataset,source_url,source_year,current_mdd_scientific_name,mdd_match_status,taxonomy_enrichment_source
elephas_maximus,Elephas maximus,Elephas maximus,Asian Elephant,Proboscidea,Elephantidae,Elephas,maximus,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Elephas maximus,exact,ASM Mammal Diversity Database v2.5 (2026)
macaca_assamensis,Macaca assamensis,Macaca assamensis,Assamese Macaque,Primates,Cercopithecidae,Macaca,assamensis,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Macaca assamensis,exact,ASM Mammal Diversity Database v2.5 (2026)
macaca_arctoides,Macaca arctoides,Macaca arctoides,Stump-tailed Macaque,Primates,Cercopithecidae,Macaca,arctoides,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Macaca arctoides,exact,ASM Mammal Diversity Database v2.5 (2026)
galeopterus_variegatus,Galeopterus variegatus,Galeopterus variegatus,Sunda Colugo,Dermoptera,Cynocephalidae,Galeopterus,variegatus,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Galeopterus variegatus,exact,ASM Mammal Diversity Database v2.5 (2026)
tupaia_belangeri,Tupaia belangeri,Tupaia belangeri,Northern Treeshrew,Scandentia,Tupaiidae,Tupaia,belangeri,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Tupaia belangeri,exact,ASM Mammal Diversity Database v2.5 (2026)
dugong_dugon,Dugong dugon,Dugong dugon,Dugong,Sirenia,Dugongidae,Dugong,dugon,species,true,false,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Dugong dugon,exact,ASM Mammal Diversity Database v2.5 (2026)
nycticebus_bengalensis,Nycticebus bengalensis,Nycticebus bengalensis,Bengal Slow Loris,Primates,Lorisidae,Nycticebus,bengalensis,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Nycticebus bengalensis,exact,ASM Mammal Diversity Database v2.5 (2026)
macaca_fascicularis,Macaca fascicularis,Macaca fascicularis,Long-tailed Macaque,Primates,Cercopithecidae,Macaca,fascicularis,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Macaca fascicularis,exact,ASM Mammal Diversity Database v2.5 (2026)
trachypithecus_melamerus,Trachypithecus melamerus,Trachypithecus melamerus,,Primates,Cercopithecidae,Trachypithecus,melamerus,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,,genus_family_only,ASM Mammal Diversity Database v2.5 (2026)
trachypithecus_crepusculus,Trachypithecus crepusculus,Trachypithecus crepusculus,Indochinese Gray Langur,Primates,Cercopithecidae,Trachypithecus,crepusculus,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Trachypithecus crepusculus,exact,ASM Mammal Diversity Database v2.5 (2026)
macaca_leonina,Macaca leonina,Macaca leonina,Northern Pig-tailed Macaque,Primates,Cercopithecidae,Macaca,leonina,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Macaca leonina,exact,ASM Mammal Diversity Database v2.5 (2026)
macaca_mulatta,Macaca mulatta,Macaca mulatta,Rhesus Macaque,Primates,Cercopithecidae,Macaca,mulatta,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Macaca mulatta,exact,ASM Mammal Diversity Database v2.5 (2026)
presbytis_femoralis,Presbytis femoralis,Presbytis femoralis,Raffles's Banded Langur,Primates,Cercopithecidae,Presbytis,femoralis,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Presbytis femoralis,exact,ASM Mammal Diversity Database v2.5 (2026)
rhinopithecus_strykeri,Rhinopithecus strykeri,Rhinopithecus strykeri,Stryker's Snub-nosed Monkey,Primates,Cercopithecidae,Rhinopithecus,strykeri,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Rhinopithecus strykeri,exact,ASM Mammal Diversity Database v2.5 (2026)
trachypithecus_barbei,Trachypithecus barbei,Trachypithecus barbei,Tenasserim Langur,Primates,Cercopithecidae,Trachypithecus,barbei,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Trachypithecus barbei,exact,ASM Mammal Diversity Database v2.5 (2026)
hoolock_leuconedys,Hoolock leuconedys,Hoolock leuconedys,Eastern Hoolock Gibbon,Primates,Hylobatidae,Hoolock,leuconedys,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Hoolock leuconedys,exact,ASM Mammal Diversity Database v2.5 (2026)
trachypithecus_phayrei,Trachypithecus phayrei,Trachypithecus phayrei,Phayre's Langur,Primates,Cercopithecidae,Trachypithecus,phayrei,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Trachypithecus phayrei,exact,ASM Mammal Diversity Database v2.5 (2026)
trachypithecus_popa,Trachypithecus popa,Trachypithecus popa,Popa Langur,Primates,Cercopithecidae,Trachypithecus,popa,species,false,true,,,,,true,,,false,Mammals of Myanmar: an annotated checklist,https://www.gbif.org/dataset/0837bd43-fa3c-4a68-b257-81cb7c234e44,2024,Trachypithecus popa,exact,ASM Mammal Diversity Database v2.5 (2026)
