Elephas maximus
Macaca assamensis
Macaca arctoides
Galeopterus variegatus
Tupaia belangeri
Dugong dugon
Nycticebus bengalensis
Macaca fascicularis
Trachypithecus melamerus
Trachypithecus crepusculus
Macaca leonina
Macaca mulatta
Presbytis femoralis
Rhinopithecus strykeri
Trachypithecus barbei
Hoolock leuconedys
Trachypithecus phayrei
Trachypithecus popa
Trachypithecus pileatus
Trachypithecus shortridgei
Hoolock hoolock
Trachypithecus obscurus
Hoolock tianxing
Hylobates lar
Ochotona forresti
Biswamoyopterus undetermined
Ratufa bicolor
Belomys pearsonii
Ochotona thibetana
Lepus peguensis
Lepus comus
Petaurista magnificus
Hylopetes spadiceus
Hylopetes phayrei
Petaurista alborufus
Petaurista petaurista
Petaurista elegans
Hylopetes alboniger
Eupetaurus nivamons
Petaurista caniceps
Olisthomys morrisi
Callosciurus erythraeus
Petaurista sybilla
Callosciurus finlaysonii
Petaurista philippensis
Petinomys vordermanni
Priapomys leonardi
Petaurista yunanensis
Callosciurus caniceps
Dremomys rufigenis
Tamiops swinhoei
Callosciurus phayrei
Dremomys lokriah
Dremomys pernyi
Tamiops mcclellandii
Menetes berdmorei
Callosciurus quinquestriatus
Callosciurus pygerythrus
Neodon forresti
Apodemus peninsulae
Rhizomys sinensis
Apodemus draco
Microtus clarkei
Apodemus latronum
Cannomys badius
Rhizomys pruinosus
Rhizomys sumatrensis
Eothenomys cachinus
Eothenomys melanogaster
Apodemus agrarius
Chiropodomys gliroides
Bandicota bengalensis
Bandicota savilei
Berylmys manipulus
Berylmys berdmorei
Berylmys bowersi
Chiromyscus langbianis
Berylmys mackenziei
Hapalomys longicaudatus
Diomys crumpi
Chiromyscus chiropus
Bandicota indica
Leopoldamys vociferans
Maxomys surifer
Micromys pygmaeus
Mus booduga
Maxomys whiteheadi
Micromys erythrotis
Millardia kathleenae
Leopoldamys edwardsi
Leopoldamys herberti
Mus pahari
Niviventer brahma
Mus shortridgei
Niviventer confucianus
Niviventer eha
Mus cervicolor
Mus musculus
Mus lepidoides
Mus caroli
Niviventer cremoriventer
Mus nitidulus
Mus cookii
Niviventer niviventer
Rattus nitidus
Rattus pyctoris
Rattus tanezumi
Rattus rattus
Sundamys muelleri
Vandeleuria oleracea
Niviventer fulvescens
Niviventer tenaster
Rattus exulans
Rattus andamanensis
Rattus norvegicus
Neotetracus sinensis
Crocidura attenuata
Crocidura dracula
Echinosorex gymnura
Hylomys suillus
Atherurus macrourus
Crocidura cranbrooki
Hystrix brachyura
Crocidura fuliginosa
Vernaya fulva
Suncus murinus
Anourosorex assamensis
Blarinella wardi
Chimarrogale styani
Chodsigoa furva
Crocidura rapax
Anourosorex squamipes
Chimarrogale himalayica
Suncus etruscus
Crocidura indochinensis
Sorex bedfordiae
Euroscaptor grandis
Parascaptor leucura
Chodsigoa parca
Episoriculus caudatus
Episoriculus macrurus
Nectogale elegans
Episoriculus umbrinus
Soriculus nigrescens
Episoriculus baileyi
Euroscaptor klossi
Megaerops niphanae
Uropsilus soricipes
Cynopterus brachyotis
Uropsilus gracilis
Scaptonyx fusicaudus
Cynopterus sphinx
Uropsilus investigator
Uropsilus nivatus
Pteropus vampyrus
Sphaerias blanfordi
Rousettus leschenaultii
Pteropus medius
Eonycteris spelaea
Rousettus amplexicaudatus
Pteropus hypomelanus
Rhinolophus acuminatus
Macroglossus sobrinus
Rhinolophus coelophyllus
Rhinolophus marshalli
Rhinolophus affinis
Rhinolophus lepidus
Rhinolophus macrotis
Rhinolophus microglobosus
Rhinolophus perniger
Rhinolophus pearsonii
Rhinolophus pusillus
Rhinolophus malayanus
Rhinolophus thomasi
Rhinolophus rouxii
Rhinolophus shortridgei
Rhinolophus subbadius
Rhinolophus rex
Rhinolophus thailandensis
Rhinolophus stheno
Rhinolophus sinicus
Rhinolophus yunanensis
Rhinolophus trifoliatus
Rhinolophus shameli
Aselliscus stoliczkanus
Hipposideros armiger
Hipposideros bicolor
Hipposideros grandis
Hipposideros einnaythu
Hipposideros galeritus
Hipposideros gentilis
Hipposideros cineraceus
Hipposideros diadema
Coelops frithii
Megaderma spasma
Hipposideros lankadiva
Hipposideros lylei
Lyroderma lyra
Hipposideros pratti
Hipposideros speoris
Craseonycteris thonglongyai
Hipposideros pomona
Hipposideros larvatus
Miniopterus magnater
