species_key,scientific_name,body_size_impression,body_form,body_covering,movement_seen,observation_place,time_seen,primary_color,body_pattern,tail_impression,tail_shape,ear_size_impression,ear_shape_simple,snout_shape_simple,leg_foot_appearance,horns_or_antlers,horn_shape_simple,tusks_visible,quills_or_spines_visible,gliding_membrane_visible,bat_nose_shape,bat_tail_visibility,rodent_tail_type,primate_face_marking,carnivore_face_marking,carnivore_tail_marking,cetacean_dorsal_fin,cetacean_beak,cetacean_color_pattern,mole_front_feet,primate_brow_pattern
eupetaurus_nivamons,Eupetaurus nivamons,,gliding_mammal_like,fur_or_hair,gliding,tree_or_bush,,brown,patched,very_long,bushy,medium,pointed,,,,,,,yes,,,bushy,,,,,,,,
petinomys_vordermanni,Petinomys vordermanni,,gliding_mammal_like,fur_or_hair,gliding,tree_or_bush,,mixed,masked,long,bushy,medium,,,,,,,,yes,,,bushy,,,,,,,,
maxomys_surifer,Maxomys surifer,,mouse_rat_like,fur_or_hair,walking_or_running,ground,,reddish_or_orange,patched,long,,,,long_pointed,small_rodent_like_feet,,,,,,,,mostly_bare_or_scaly,,,,,,,,
niviventer_fulvescens,Niviventer fulvescens,,mouse_rat_like,fur_or_hair,walking_or_running,ground,,reddish_or_orange,patched,very_long,,,,long_pointed,small_rodent_like_feet,,,,,,,,furry_not_bushy,,,,,,,,
chiromyscus_chiropus,Chiromyscus chiropus,,mouse_rat_like,fur_or_hair,climbing,tree_or_bush,,reddish_or_orange,patched,very_long,,large,rounded,,small_rodent_like_feet,,,,,,,,furry_not_bushy,,,,,,,,
mus_pahari,Mus pahari,,mouse_rat_like,fur_or_hair,walking_or_running,ground,,grey,patched,medium,,small,rounded,long_pointed,small_rodent_like_feet,,,,,,,,furry_not_bushy,,,,,,,,
rattus_exulans,Rattus exulans,,mouse_rat_like,fur_or_hair,walking_or_running,ground,night,brown,patched,long,,large,rounded,long_pointed,small_rodent_like_feet,,,,,,,,mostly_bare_or_scaly,,,,,,,,
rattus_andamanensis,Rattus andamanensis,,mouse_rat_like,fur_or_hair,walking_or_running,ground,night,brown,plain,long,,medium,rounded,long_pointed,small_rodent_like_feet,,,,,,,,mostly_bare_or_scaly,,,,,,,,
uropsilus_soricipes,Uropsilus soricipes,,shrew_mole_like,fur_or_hair,digging_or_burrowing,ground,,dark_brown,plain,long,thin,medium,rounded,long_pointed,small_rodent_like_feet,,,,,,,,,,,,,,,normal_small_feet,
hylomys_suillus,Hylomys suillus,,shrew_mole_like,fur_or_hair,walking_or_running,ground,,brown,plain,short,,small,rounded,long_pointed,small_rodent_like_feet,,,,,,,,,,,,,,,,
rattus_nitidus,Rattus nitidus,,mouse_rat_like,fur_or_hair,climbing,ground,,grey,plain,long,,medium,rounded,long_pointed,small_rodent_like_feet,,,,,,,,mostly_bare_or_scaly,,,,,,,,
mus_caroli,Mus caroli,,mouse_rat_like,fur_or_hair,walking_or_running,ground,,brown,patched,long,,medium,rounded,long_pointed,small_rodent_like_feet,,,,,,,,mostly_bare_or_scaly,,,,,,,,
mus_cervicolor,Mus cervicolor,,mouse_rat_like,fur_or_hair,walking_or_running,ground,,brown,plain,medium,,medium,rounded,long_pointed,small_rodent_like_feet,,,,,,,,mostly_bare_or_scaly,,,,,,,,
vernaya_fulva,Vernaya fulva,,mouse_rat_like,fur_or_hair,climbing,tree_or_bush,,yellowish_or_buff,plain,very_long,thin,medium,rounded,,small_rodent_like_feet,,,,,,,,furry_not_bushy,,,,,,,,
chimarrogale_styani,Chimarrogale styani,,shrew_mole_like,fur_or_hair,swimming,freshwater_or_wetland,,dark_brown,patched,long,,,,long_pointed,webbed_feet,,,,,,,,,,,,,,,,
euroscaptor_grandis,Euroscaptor grandis,,shrew_mole_like,fur_or_hair,digging_or_burrowing,ground,,dark_brown,plain,short,,not_obvious,,long_pointed,broad_digging_feet,,,,,,,,,,,,,,,broad_digging_feet,
