species_key,trait_id,trait_value,source_type,source_name,source_url,citation,access_date,confidence,method,notes
eupetaurus_nivamons,body_form,gliding_mammal_like,web_reference,Zoological Journal of the Linnean Society,https://academic.oup.com/zoolinnean/article/194/2/502/6287636,"Eupetaurus nivamons — brownish-grey woolly flying squirrel, long bushy tail with a long black distal section, pointed hairy ears.",2026-09-06,high,phase3k_species_expansion,Only easily observed external features used; skull/dental measurements excluded.
eupetaurus_nivamons,body_covering,fur_or_hair,web_reference,Zoological Journal of the Linnean Society,https://academic.oup.com/zoolinnean/article/194/2/502/6287636,"Eupetaurus nivamons — brownish-grey woolly flying squirrel, long bushy tail with a long black distal section, pointed hairy ears.",2026-09-06,high,phase3k_species_expansion,Only easily observed external features used; skull/dental measurements excluded.
eupetaurus_nivamons,movement_seen,gliding,web_reference,Zoological Journal of the Linnean Society,https://academic.oup.com/zoolinnean/article/194/2/502/6287636,"Eupetaurus nivamons — brownish-grey woolly flying squirrel, long bushy tail with a long black distal section, pointed hairy ears.",2026-09-06,high,phase3k_species_expansion,Only easily observed external features used; skull/dental measurements excluded.
eupetaurus_nivamons,observation_place,tree_or_bush,web_reference,Zoological Journal of the Linnean Society,https://academic.oup.com/zoolinnean/article/194/2/502/6287636,"Eupetaurus nivamons — brownish-grey woolly flying squirrel, long bushy tail with a long black distal section, pointed hairy ears.",2026-09-06,high,phase3k_species_expansion,Only easily observed external features used; skull/dental measurements excluded.
eupetaurus_nivamons,primary_color,brown,web_reference,Zoological Journal of the Linnean Society,https://academic.oup.com/zoolinnean/article/194/2/502/6287636,"Eupetaurus nivamons — brownish-grey woolly flying squirrel, long bushy tail with a long black distal section, pointed hairy ears.",2026-09-06,high,phase3k_species_expansion,Only easily observed external features used; skull/dental measurements excluded.
eupetaurus_nivamons,body_pattern,patched,web_reference,Zoological Journal of the Linnean Society,https://academic.oup.com/zoolinnean/article/194/2/502/6287636,"Eupetaurus nivamons — brownish-grey woolly flying squirrel, long bushy tail with a long black distal section, pointed hairy ears.",2026-09-06,high,phase3k_species_expansion,Only easily observed external features used; skull/dental measurements excluded.
eupetaurus_nivamons,tail_impression,very_long,web_reference,Zoological Journal of the Linnean Society,https://academic.oup.com/zoolinnean/article/194/2/502/6287636,"Eupetaurus nivamons — brownish-grey woolly flying squirrel, long bushy tail with a long black distal section, pointed hairy ears.",2026-09-06,high,phase3k_species_expansion,Only easily observed external features used; skull/dental measurements excluded.
eupetaurus_nivamons,tail_shape,bushy,web_reference,Zoological Journal of the Linnean Society,https://academic.oup.com/zoolinnean/article/194/2/502/6287636,"Eupetaurus nivamons — brownish-grey woolly flying squirrel, long bushy tail with a long black distal section, pointed hairy ears.",2026-09-06,high,phase3k_species_expansion,Only easily observed external features used; skull/dental measurements excluded.
eupetaurus_nivamons,ear_size_impression,medium,web_reference,Zoological Journal of the Linnean Society,https://academic.oup.com/zoolinnean/article/194/2/502/6287636,"Eupetaurus nivamons — brownish-grey woolly flying squirrel, long bushy tail with a long black distal section, pointed hairy ears.",2026-09-06,high,phase3k_species_expansion,Only easily observed external features used; skull/dental measurements excluded.
eupetaurus_nivamons,ear_shape_simple,pointed,web_reference,Zoological Journal of the Linnean Society,https://academic.oup.com/zoolinnean/article/194/2/502/6287636,"Eupetaurus nivamons — brownish-grey woolly flying squirrel, long bushy tail with a long black distal section, pointed hairy ears.",2026-09-06,high,phase3k_species_expansion,Only easily observed external features used; skull/dental measurements excluded.
